CID,CIDs PROMOTE OUT
10000294,
10001600,10000294
10001600,10421707
10003127,10004014
10004014,10004107
10004014,10005756
10004014,10005937
10004014,10007066
10004014,10337855
10004107,10005223
10004107,10012288
10004107,610000032
10005223,10005267
10005223,10040052
10005267,10015663
10005267,10031032
10005756,
10005937,10006364
10005937,10006688
10005937,10007678
10005937,10012772
10005937,10015773
10006364,
10006688,10037210
10006688,10315543
10006688,10381327
10007066,10037686
10007678,
10012288,15160377
10012772,10012821
10012772,10014846
10012772,10016170
10012821,
10014846,10024093
10014846,15194464
10015663,10323558
10015773,10027837
10015773,10031073
10015773,10040950
10015773,10049506
10016170,10019729
10016170,10451471
10016625,10027420
10019729,10028822
10019729,10029985
10019729,10041532
10019729,10308765
10019729,10331302
10019729,10342694
10019729,10443932
10019729,10560473
10019729,15236321
10019729,15270780
10024093,10034767
10024093,10046811
10024093,10310323
10027420,10390320
10027420,10395369
10027837,10071072
10028822,15008115
10029985,10462763
10029985,10462769
10029985,10513109
10029985,10552140
10031032,10047970
10031073,
10034767,10311626
10037210,
10037686,
10040052,15023124
10040950,
10041532,10355624
10046811,10536684
10047970,10322828
10047970,10344136
10047970,10357590
10047970,15008858
10047970,15530569
10049506,10074276
10071072,10410554
10074276,10417974
10308765,
10310323,110083354
10310323,115021743
10311626,10409161
10311626,15005068
10315543,10473240
10315543,15134515
10322828,
10323558,115009649
10331302,10340111
10331302,10359887
10331302,10404619
10331302,10415981
10331302,10420591
10331302,16123965
10337855,10550312
10337855,15019780
10340111,10430209
10342694,10554597
10344136,10367372
10344136,10379715
10344136,10412057
10355624,613026149
10357590,
10359887,
10367372,
10379715,10413613
10381327,10391797
10381327,10470462
10381327,10483935
10381327,15222969
10381327,15374272
10381327,115004352
10390320,10429716
10390320,10446697
10391797,10435038
10391797,15134722
10395369,10459927
10404619,10411587
10404619,10566126
10409161,
10410554,10412578
10410554,18581510
10410554,613000188
10411587,10437293
10411587,15696779
10411587,17517876
10412057,
10412578,10499102
10413613,10445233
10413613,10538222
10415981,10455232
10415981,110083574
10417974,10447817
10417974,15003960
10420591,15035691
10421707,
10429716,15768670
10430209,
10435038,10533461
10437293,16231236
10443932,15019860
10445233,
10446697,
10447817,10473569
10451471,10470455
10451471,10537058
10451471,10540707
10451471,15041240
10454051,
10455232,
10459927,15414389
10462470,
10462763,10482998
10462763,10495609
10462769,
10470455,15045700
10470462,
10473240,15106046
10473240,15152551
10473569,10491137
10482998,10751645
10482998,15803844
10482998,16021625
10483935,
10491137,10497581
10491137,10536625
10495609,
10497581,15255134
10499102,15034020
10499102,15149965
10499102,15212077
10499102,15248750
10513109,
10533461,
10536625,
10536684,15132829
10536684,15757063
10536684,16370145
10537058,16342759
10538222,
10540707,
10550312,
10552140,110084467
10552140,115016870
10554597,
10560473,10576366
10560473,19022884
10562679,15144079
10566126,15139004
10566126,613000176
10576366,
10599244,15405345
10599244,16090462
10599244,19783376
10611135,
10751645,15528859
10751645,15638951
10963418,
110083354,115003696
110083574,115000746
110083574,115001039
110083574,115034815
110084274,115012248
110084467,115003023
115000746,110084274
115000746,115001290
115000746,115077969
115001039,115001253
115001039,115014073
115001253,115002234
115001290,
115002234,115004523
115003023,
115003696,115023612
115004352,115008122
115004352,115073788
115004523,
115008122,115008913
115008913,115178958
115009649,
115012248,
115014073,115144761
115016870,
115021743,
115023612,115185095
115023612,115200680
115034815,
115039255,115040883
115039255,115118570
115040883,115044212
115040883,115181319
115040883,115184750
115044212,
115073788,115129514
115073788,115180992
115077969,
115111834,115119299
115111834,115127685
115111834,115128899
115118570,
115119299,
115127685,
115128899,115183424
115128899,115202542
115128899,115226118
115128899,115491717
115129514,
115144761,
115178958,
115180992,
115181319,115358416
115183424,115359773
115184750,
115185095,
115200680,
115202542,115262107
115226118,115231005
115226118,115234005
115231005,
115234005,
115262107,
115358416,
115359773,115394131
115394131,
115491717,
13416840,
15003960,10462470
15005068,
15008115,10454051
15008115,15089465
15008858,
15019780,
15019860,15087261
15019860,15455960
15023124,10562679
15034020,15164110
15035691,15072063
15041240,10599244
15041240,10611135
15041240,15056298
15045700,
15056298,
15072063,16257194
15087261,
15089465,15341744
15106046,
15132829,
15134515,
15134722,
15139004,
15144079,15153407
15144079,16438644
15149965,
15152551,
15153407,15164826
15160377,
15164110,
15164826,16143064
15194464,
15212077,
15222969,
15236321,
15248750,
15255134,
15270780,
15341744,
15374272,613007265
15405345,13416840
15405345,16109631
15405345,17679927
15414389,16375015
15455960,
15528859,15782498
15528859,17635825
15530569,
15638951,16352675
15638951,17156100
15696779,
15757063,
15768670,
15782498,
15803844,
16021625,
16090462,
16109631,18259467
16123965,
16143064,16205959
16143064,16255115
16143064,18398364
16143064,115039255
16205959,18518194
16231236,
16255115,
16257194,
16342759,
16352675,16945584
16370145,19945945
16375015,
16438644,16475891
16438644,17153991
16475891,
16945584,17476120
16945584,19760261
17153991,17154320
17153991,440000067
17154320,115111834
17156100,
17476120,17684636
17476120,17898909
17517876,
17635825,
17679927,17907246
17684636,17827679
17827679,
17898909,
17907246,19127555
18036563,
18259467,
18398364,18406205
18406205,
18518194,
18581510,
19022884,
19127555,
19760261,
19783376,19817737
19817737,
19945945,
440000067,441000431
440000067,441001868
440001001,
440001087,
440002823,
440002969,613131126
440006000,
440006431,
441000431,441002098
441000431,441002768
441001868,
441002098,440001001
441002098,440002823
441002098,441003319
441002768,
441003319,440001087
441003319,440002969
441003319,440006000
441003319,440006431
610000032,613038737
613000176,613026158
613000188,613007197
613000188,613014131
613000188,613031099
613007197,613144979
613007265,613008133
613007265,613009940
613008133,613009986
613008133,613012236
613009940,613013021
613009986,
613012236,
613013021,613034076
613013021,613075215
613014131,613063691
613026149,613102167
613026158,
613031099,
613034076,
613038737,
613063691,
613075215,613217120
613075215,613291922
613102167,613147665
613102167,613153664
613131126,
613144979,613150878
613147665,613182238
613150878,
613153664,
613182238,
613217120,
613291922,
